mot;sha256;alphabet;longueur_max
a;CA978112CA1BBDCAFAC231B39A23DC4DA786EFF8147C4E72B9807785AFEE48BB;ab;1
ab;FB8E20FC2E4C3F248C60C39BD652F3C1347298BB977B8B4D5903B85055620603;ab;2
abc;BA7816BF8F01CFEA414140DE5DAE2223B00361A396177A9CB410FF61F20015AD;abc;3
z3D;A532CA5E11E2B06CCC911E0D962A4864CDB87DA05723F3A050A376D0F0895E63;abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;3
Sh3n;BD7D0EA8CF7ADE4A446BA4EFC46FD99071EC3F423770991AC51F70EC5A894DC7;abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789;4
café;850F7DC43910FF890F8879C0ED26FE697C93A067AD93A7D50F466A7028A9BF4E;café;4
é;4A99557E4033C3539DE2EB65472017CAD5F9557F7A0625A09F1C3F6E2BA69C4C;é;1
😀;F0443A342C5EF54783A111B51BA56C938E474C32324D90C3A60C9C8E3A37E2D9;😀;1
aB1!é;00853BBBB35FD3BFBF13F3265C29E3513106674096023995AC6989F89B5358FF;abAB01!#@é;5
aB1!é#;C4E670726EC26B9CBB591DBB9DAC4CA2D05E4809744D2BF3C1B9BFE5E08DAB63;abAB01!#@é;6
aB1!é#a;D1988D0A4EF06503DE06B2B63FD44DF67D0E03955AE16A111EF5A4C97D3AABBB;abAB01!#@é;7
aB1!é#aB;3245FF6C9807FF39CC6B032572CA87E4FA840CA6610A8B61277314517C4A1AB3;abAB01!#@é;8
